Protein IDs	Ratio	pValue
P50570	0.911366419	0.764213
B2RUZ4	0.911401586	0.76127
Q04656	0.911828729	0.970791
Q8WU79	0.911881183	0.962198
P11217	0.912900953	0.97226
P22681	0.913513928	0.637034
P08237	0.915069089	0.850594
Q12931	0.915398093	0.607294
P0CG47	0.915539123	0.960861
Q14315	0.915613206	0.686626
Q9BXJ4	0.91588854	0.959099
P09429	0.916444908	0.703505
Q92841	0.917400876	0.907521
Q9Y5X3	0.918704828	0.972246
P17858	0.919116482	0.80139
P52790	0.919854785	0.8695
Q14344	0.920867361	0.765341
P10412	0.920898496	0.960904
Q9BZF1	0.921788892	0.819546
Q16563	0.921983627	0.819918
Q86YV0	0.922442158	0.742669
P38606	0.92258215	0.819242
Q9UPT5	0.922994359	0.678637
P37840	0.923115823	0.720071
P02656	0.923821229	0.729904
O43566	0.924589752	0.70737
P20339	0.924601218	0.637872
Q9Y3Q8	0.924606872	0.767128
Q14CB8	0.925101777	0.967144
Q9Y3C5	0.925849668	0.468496
Q15046	0.925905175	0.915609
P78371	0.926397062	0.785066
Q9UJC5	0.926623362	0.957408
Q9UNZ2	0.927270783	0.593599
P00742	0.927530149	0.874066
Q8N474	0.928071671	0.758283
P26368	0.928856023	0.479249
Q14258	0.929028778	0.773855
Q9Y3Z3	0.929387324	0.947056
Q01130	0.92953481	0.568162
Q92619	0.930329542	0.988816
P06858	0.930608017	0.933231
Q9UMS6	0.933893506	0.720257
P20062	0.934521018	0.941149
Q13609	0.934552324	0.931496
Q9BXJ9	0.934923826	0.969134
P15531	0.935600752	0.805123
P11233	0.935752942	0.721812
Q92522	0.935788291	0.918464
P05089	0.935823446	0.995015
P62750	0.936076234	0.981747
Q9HC35	0.936462388	0.637503
P23246	0.936779885	0.687055
Q9C0C9	0.936847744	0.938574
Q9Y624	0.936864665	0.961278
O15335	0.93737246	0.968484
Q7Z4W1	0.937476288	0.687842
Q14574	0.939124477	0.927283
P10909	0.939168586	0.736024
P41214	0.939884769	0.828635
Q96JH7	0.940128228	0.922122
P04180	0.940555873	0.632246
Q16674	0.940693656	0.827115
P62834	0.940961078	0.806537
P30041	0.941045194	0.861857
P13497	0.942718844	0.953099
P49247	0.943352977	0.850899
P61026	0.944007273	0.678975
O15347	0.944513598	0.563166
Q13642	0.945284614	0.54098
O43314	0.945438006	0.81916
P11586	0.946140603	0.970878
Q9HA64	0.946731851	0.704707
Q8IV04	0.946902781	0.817354
Q9Y4G8	0.94694275	0.736451
Q6XQN6	0.947394141	0.627175
P07948	0.947900691	0.975629
P25325	0.948485927	0.727483
