Protein IDs	Ratio	pValue
Q8WUJ3	1.067643267	0.444967
P55145	1.068844169	0.852119
P51149	1.070635705	0.594989
Q9Y224	1.07202413	0.611619
P51148	1.072929463	0.702123
P21281	1.073184684	0.499688
P68363	1.074540479	0.986606
P26447	1.074743673	0.785724
P68366	1.075417961	0.593421
O15347	1.076710219	0.203256
P09661	1.077737132	0.0885291
Q53H76	1.077887565	0.822714
Q7L2H7	1.079283692	0.702926
P62820	1.079656551	0.397023
P59998	1.080882775	0.804502
P62942	1.081382663	0.854637
Q9BYC5	1.08150923	0.692754
P11142	1.082709001	0.366575
P62424	1.083031253	0.353059
P0CG47	1.085094596	0.463894
P42025	1.085996745	0.830466
P09960	1.086663831	0.344199
Q14157	1.088115236	0.3419
P30043	1.08834487	0.889639
Q9NPF2	1.088468151	0.64338
O14745	1.089859239	0.664937
Q96NA2	1.09064728	0.699794
Q86UD1	1.090771393	0.557441
Q12797	1.091280069	0.692107
P78509	1.093435344	0.563902
P08579	1.094808692	0.0622857
P04792	1.095612308	0.757866
P00491	1.096177049	0.965655
P07195	1.097127965	0.948183
Q00839	1.097194296	0.2946
Q99733	1.098510461	0.505055
P11021	1.099538333	0.94212
P04632	1.101009746	0.790526
P24534	1.101518956	0.997306
P06702	1.101828171	0.363792
Q13464	1.101863601	0.341362
P09429	1.101994541	0.224206
P13489	1.102566585	0.62199
P27449	1.102969558	0.703933
P11169	1.103058452	0.834548
Q04941	1.103791401	0.72445
Q8NET6	1.104529059	0.940867
Q9H3U1	1.106305931	0.802764
Q9UJU6	1.106413972	0.595359
Q9UN37	1.107815851	0.178016
P38606	1.107853177	0.392536
Q16775	1.10802022	0.953485
Q92556	1.108912979	0.355286
P54578	1.10896631	0.525428
P27797	1.110143515	0.997321
O00139	1.111336326	0.919656
P31948	1.113061615	0.719107
P02533	1.113377624	0.671312
