##Data analysis and visualization were performed with SeekSoul‑Tools (version 1.0.0) 
##https://seeksoul.online/cloudplatform)‑doc/zh/document/Software/3_SeekSoul_Tools/
##Raw sequencing reads have been deposited in the NCBI SRA under BioProject accession PRJNA1520949 (http://www.ncbi.nlm.nih.gov/bioproject/1520949)


p_val	avg_log2FC	pct.1	pct.2	cluster	gene
9.14E-159	1.455266335	0.57	0.232	15	Vcam1
5.93E-146	1.408252801	0.885	0.689	15	Arl15
2.49E-135	1.456500605	0.556	0.244	15	Mal
9.42E-106	1.265478252	0.679	0.448	15	Glul
3.08E-64	1.307124364	0.604	0.452	15	Uap1
0	2.202211989	0.49	0.012	16	Cartpt
0	1.738927218	0.955	0.441	16	Gm13889
0	0.818180445	0.414	0.064	16	Kctd1
1.39E-307	1.333510969	0.758	0.24	16	Mal
5.35E-307	0.904298003	0.417	0.078	16	Crispld2
1.25E-300	1.302015212	0.75	0.265	16	Cpe
3.22E-279	0.929494739	0.455	0.097	16	Bdnf
7.40E-275	1.170671786	0.753	0.254	16	Ifitm1
1.21E-259	1.298244326	0.677	0.224	16	Gja4
2.62E-259	1.194289199	0.847	0.36	16	Tmem252
1.13E-227	1.26872741	0.599	0.193	16	Cryab
4.81E-209	0.810192856	0.495	0.139	16	Klhl29
1.61E-208	0.886560296	0.66	0.236	16	Col18a1
6.93E-191	1.071382027	0.823	0.387	16	Lrg1
5.17E-190	0.863676559	0.901	0.495	16	Slc2a1
7.58E-189	1.287332911	0.742	0.329	16	Procr
2.30E-184	1.0983381	0.842	0.418	16	Spp1
5.48E-168	0.910845907	0.488	0.154	16	Slc7a11
2.96E-155	0.864267068	0.733	0.349	16	Abhd2
2.29E-148	0.762759641	0.999	0.935	16	Actg1
5.99E-147	0.700861866	0.987	0.667	16	Rgs5
8.74E-147	1.111869358	0.577	0.23	16	Il6
8.07E-142	0.746030341	0.965	0.755	16	Slc3a2
2.25E-133	0.821966965	0.801	0.431	16	Adamts4
3.34E-123	0.819999382	0.951	0.77	16	Gapdh
