p_value	morans_test_statistic	morans_I	gene_short_name	q_value
0.5552094508180345	-0.138834288	-0.00181212	Spink13	0.7918283676864812
0.5536338917429489	-0.134847794	-0.001813034	Krt7	0.7918283676864812
0.556997328514652	-0.14336067	-0.001813146	Kcnv2	0.7918283676864812
0.5731694024444475	-0.184449048	-0.001813675	Fam129c	0.7918283676864812
0.5557946814289033	-0.140315603	-0.001814066	Mmp11	0.7918283676864812
0.5595902061444655	-0.149930323	-0.001814198	4930428N03Rik	0.7918283676864812
0.5516980914062636	-0.12995274	-0.001814601	Adra1a	0.7918283676864812
0.5539893327636135	-0.135746945	-0.001815688	Slc22a2	0.7918283676864812
0.5545559084513081	-0.137180425	-0.00181577	Gm15351	0.7918283676864812
0.5405287508749179	-0.101765893	-0.001816657	Cd68	0.7918283676864812
0.5551664190328813	-0.13872538	-0.001817403	Gm21750	0.7918283676864812
0.5538830902448407	-0.135478174	-0.001817444	C1qb	0.7918283676864812
0.5547822998063626	-0.137753291	-0.001819149	E430018J23Rik	0.7918283676864812
0.5401517460463194	-0.100816022	-0.001819749	Gm35248	0.7918283676864812
0.5501243612912888	-0.125975552	-0.001820353	Zfyve28	0.7918283676864812
0.5395173235327319	-0.099217787	-0.001820808	Ppp1r14a	0.7918283676864812
0.5541267199276271	-0.136094519	-0.001821052	Il1a	0.7918283676864812
0.5543431209792012	-0.136642024	-0.001822834	Gm43691	0.7918283676864812
0.5471297608329762	-0.118412934	-0.001823021	Klkb1	0.7918283676864812
0.5543841836583303	-0.136745919	-0.001823271	Mlip	0.7918283676864812
0.5557771870574514	-0.140271317	-0.001823286	1700052H01Rik	0.7918283676864812
0.5386899159797901	-0.097133764	-0.001823389	Dnttip1	0.7918283676864812
0.5567536386585317	-0.142743548	-0.001823764	Gm42196	0.7918283676864812
0.5545626601896536	-0.137197509	-0.001824035	Susd3	0.7918283676864812
0.5570802428042934	-0.143570655	-0.001825383	Gm38948	0.7918283676864812
0.5545008490589353	-0.137041108	-0.001826933	Iqsec3	0.7918283676864812
0.5574581001838176	-0.144527681	-0.001828272	Phf24	0.7918283676864812
0.5393304667759169	-0.098747106	-0.001828903	Osgin2	0.7918283676864812
0.563342493261171	-0.159449156	-0.001828946	Gm48250	0.7918283676864812
0.6068316484812203	-0.271070639	-0.001829649	4930565D16Rik	0.7918283676864812
0.5546745409520527	-0.13748061	-0.001829792	Gm12863	0.7918283676864812
0.5391580774015083	-0.098312887	-0.001829851	Thoc5	0.7918283676864812
0.5549169790915017	-0.138094109	-0.001830468	Gm47896	0.7918283676864812
0.5580436796637024	-0.146011081	-0.001830949	4933422A05Rik	0.7918283676864812
0.5549094993456444	-0.13807518	-0.001832176	E230016K23Rik	0.7918283676864812
0.5568615766166459	-0.143016884	-0.001834714	Chgb	0.7918283676864812
0.5395893492094349	-0.099399221	-0.001834731	Tprkb	0.7918283676864812
0.5609724102213126	-0.153435084	-0.001834904	4833427G06Rik	0.7918283676864812
0.9956725900037159	-2.625396174	-0.001835938	1700112D23Rik	0.9957255625824561
0.9956725900037159	-2.625396174	-0.001835938	Gm4419	0.9957255625824561
0.5664532486695163	-0.167351477	-0.001838388	Smc2os	0.7918283676864812
0.5566803462522414	-0.142557952	-0.001839761	Gm12092	0.7918283676864812
0.5560015320424883	-0.140839249	-0.001839925	Tdrd12	0.7918283676864812
0.5569550016617653	-0.143253477	-0.001840626	6330408M09Rik	0.7918283676864812
0.5570181339376914	-0.14341336	-0.001843068	Gm19610	0.7918283676864812
0.5400720741977797	-0.100615299	-0.00184319	Prelp	0.7918283676864812
0.5608744216522624	-0.153186559	-0.001843208	Cstad	0.7918283676864812
0.539702948709112	-0.099685387	-0.001843666	Terf2ip	0.7918283676864812
0.55588587586811955	-0.140546458	-0.001845129	Fxyd2	0.7918283676864812
0.5570260767048967	-0.143433476	-0.001846116	5330426L24Rik	0.7918283676864812
0.5684000270536447	-0.172302211	-0.001846125	Tspyl5	0.7918283676864812
0.5559497767001829	-0.140708226	-0.001846466	Upk3b	0.7918283676864812
0.5397556959456286	-0.099818264	-0.001847997	Ttc1	0.7918283676864812
0.5558744623480496	-0.140517565	-0.001848702	Gm5089	0.7918283676864812
0.5402322331590248	-0.101018803	-0.001849141	Shfl	0.7918283676864812
0.5583448747606787	-0.146774199	-0.001849418	4930426L09Rik	0.7918283676864812
0.561691136561981	-0.155258252	-0.001850358	Cyp2s1	0.7918283676864812
0.5761129000897343	-0.191959155	-0.001851398	Evi2	0.7918283676864812
0.5583433458809592	-0.146770325	-0.001852513	Gm44734	0.7918283676864812
0.5480835763262012	-0.120820961	-0.001855613	Ccdc170	0.7918283676864812
0.5796616345269475	-0.201027935	-0.001855893	Gm17949	0.7918283676864812
0.5563464000927093	-0.141712375	-0.001856462	Gm11110	0.7918283676864812
0.5430886956327388	-0.108218199	-0.001857049	Carmn	0.7918283676864812
0.5408327805868736	-0.102531969	-0.001857678	Tmem170	0.7918283676864812
0.5564291421371503	-0.141921875	-0.001857752	Gm10053	0.7918283676864812
0.5410932322064219	-0.103188287	-0.001857958	Atg9b	0.7918283676864812
0.557648168574338	-0.145009131	-0.001858917	4933429H19Rik	0.7918283676864812
0.5704394789109798	-0.177493154	-0.001860139	1700112J05Rik	0.7918283676864812
0.5590913410271692	-0.148665839	-0.001865644	Gm44696	0.7918283676864812
0.5572183069282497	-0.143920324	-0.001868782	Dcdc2a	0.7918283676864812
0.5408706842505093	-0.102627481	-0.00187178	Ccdc127	0.7918283676864812
0.5528211391144565	-0.132792202	-0.001873023	Gm26815	0.7918283676864812
0.5416502758615005	-0.104592145	-0.001873371	Pdcd2	0.7918283676864812
0.5576731536508375	-0.145072421	-0.001873404	Cstdc2	0.7918283676864812
0.557585501662206	-0.144850389	-0.001873437	Tuba3a	0.7918283676864812
0.5434391748156852	-0.109101922	-0.001873542	Ddias	0.7918283676864812
0.5582067839774959	-0.146424317	-0.001874497	4930447C04Rik	0.7918283676864812
0.5576247647021035	-0.144949846	-0.001876526	Gm44129	0.7918283676864812
0.5576312255788751	-0.144966212	-0.001876652	4930563F08Rik	0.7918283676864812
0.5687792684157873	-0.173267125	-0.001876781	Gm16181	0.7918283676864812
0.5746148695859263	-0.18813572	-0.001877116	Acp5	0.7918283676864812
0.5577004607118533	-0.145141594	-0.001877504	Gm26531	0.7918283676864812
0.5411601835707757	-0.103357007	-0.001877996	Tsc1	0.7918283676864812
0.5597152863991706	-0.150247404	-0.001878877	Myh1	0.7918283676864812
0.57067541299007	-0.178093975	-0.001879057	Gm3435	0.7918283676864812
0.558555302474725	-0.147307396	-0.001880811	Slc26a3	0.7918283676864812
0.5584205586801307	-0.146965967	-0.001881184	1700109G14Rik	0.7918283676864812
0.5516124971829788	-0.129736371	-0.001885343	Angptl7	0.7918283676864812
0.5647772254667535	-0.163092571	-0.001886802	9030407P20Rik	0.7918283676864812
0.5583551024634147	-0.146800114	-0.001887142	Gm50115	0.7918283676864812
0.5583734839670093	-0.146846688	-0.001887422	Gm128	0.7918283676864812
0.5423758434732807	-0.106421024	-0.001888632	Dalrd3	0.7918283676864812
0.5416817640118011	-0.104671507	-0.001889018	Ciapin1	0.7918283676864812
0.5608372641570749	-0.153092321	-0.001892965	Il17rb	0.7918283676864812
0.5721184765600076	-0.181770232	-0.001894086	Srp54b	0.7918283676864812
0.5537776216069858	-0.135211371	-0.001894334	Gm28982	0.7918283676864812
0.5592117157934672	-0.148970934	-0.001894687	Zic3	0.7918283676864812
0.5589447667143865	-0.14829436	-0.001894762	Mmd2	0.7918283676864812
0.5615241582262339	-0.154834638	-0.001894864	B3galt4	0.7918283676864812
0.5587935847654156	-0.147911224	-0.001894927	Gm47547	0.7918283676864812
0.5632974539488278	-0.159334816	-0.001896329	Amd2	0.7918283676864812
